"Step","TD3 high lr, shooting pre - avg episode length","TD3 high lr, shooting pre - avg episode length__MIN","TD3 high lr, shooting pre - avg episode length__MAX","TD3 high lr - avg episode length","TD3 high lr - avg episode length__MIN","TD3 high lr - avg episode length__MAX","TD3 high lr, shooting - avg episode length","TD3 high lr, shooting - avg episode length__MIN","TD3 high lr, shooting - avg episode length__MAX","TD3 high lr, 4 rewards, shooting - avg episode length","TD3 high lr, 4 rewards, shooting - avg episode length__MIN","TD3 high lr, 4 rewards, shooting - avg episode length__MAX","TD3 retrained def ->shooting 4 rewards - avg episode length","TD3 retrained def ->shooting 4 rewards - avg episode length__MIN","TD3 retrained def ->shooting 4 rewards - avg episode length__MAX","TD3 pretrained def -> shooting - avg episode length","TD3 pretrained def -> shooting - avg episode length__MIN","TD3 pretrained def -> shooting - avg episode length__MAX","TD3 defense - avg episode length","TD3 defense - avg episode length__MIN","TD3 defense - avg episode length__MAX","TD3 big buffer continue - avg episode length","TD3 big buffer continue - avg episode length__MIN","TD3 big buffer continue - avg episode length__MAX","TD3 big buffer 2nd try - avg episode length","TD3 big buffer 2nd try - avg episode length__MIN","TD3 big buffer 2nd try - avg episode length__MAX","TD3 32 grad every epoch - avg episode length","TD3 32 grad every epoch - avg episode length__MIN","TD3 32 grad every epoch - avg episode length__MAX"
"0","115.742","115.742","115.742","163.052","163.052","163.052","62.02","62.02","62.02","50.27","50.27","50.27","80.674","80.674","80.674","79.646","79.646","79.646","58.496","58.496","58.496","220.938","220.938","220.938","179.196","179.196","179.196","123.334","123.334","123.334"
"1","142.968","142.968","142.968","197.112","197.112","197.112","38.736","38.736","38.736","60.592","60.592","60.592","79.592","79.592","79.592","81","81","81","68.394","68.394","68.394","206.924","206.924","206.924","179.852","179.852","179.852","145.962","145.962","145.962"
"2","115.998","115.998","115.998","209.946","209.946","209.946","34.93","34.93","34.93","66.284","66.284","66.284","80.866","80.866","80.866","80.96","80.96","80.96","69.482","69.482","69.482","228.012","228.012","228.012","193.848","193.848","193.848","169.112","169.112","169.112"
"3","115.35","115.35","115.35","204.494","204.494","204.494","35.504","35.504","35.504","80.872","80.872","80.872","81","81","81","81","81","81","67.57","67.57","67.57","229.832","229.832","229.832","185.956","185.956","185.956","126.046","126.046","126.046"
"4","106.802","106.802","106.802","215.07","215.07","215.07","32.404","32.404","32.404","80.96","80.96","80.96","80.876","80.876","80.876","81","81","81","73.77","73.77","73.77","227.636","227.636","227.636","195.508","195.508","195.508","178.54","178.54","178.54"
"5","104.272","104.272","104.272","217.024","217.024","217.024","29.436","29.436","29.436","65.236","65.236","65.236","81","81","81","80.97","80.97","80.97","71.006","71.006","71.006","229.88","229.88","229.88","208.41","208.41","208.41","208.418","208.418","208.418"
"6","124.444","124.444","124.444","213.312","213.312","213.312","34.038","34.038","34.038","79.096","79.096","79.096","81","81","81","81","81","81","70.88","70.88","70.88","232.284","232.284","232.284","213.836","213.836","213.836","201.466","201.466","201.466"
"7","124.232","124.232","124.232","207.084","207.084","207.084","34.068","34.068","34.068","80.606","80.606","80.606","80.984","80.984","80.984","81","81","81","72.998","72.998","72.998","233.41","233.41","233.41","210.568","210.568","210.568","210.092","210.092","210.092"
"8","114.424","114.424","114.424","213.698","213.698","213.698","36.528","36.528","36.528","81","81","81","81","81","81","81","81","81","73.234","73.234","73.234","230.688","230.688","230.688","215.922","215.922","215.922","227.548","227.548","227.548"
"9","129.686","129.686","129.686","219.966","219.966","219.966","45.18","45.18","45.18","80.87","80.87","80.87","81","81","81","81","81","81","72.724","72.724","72.724","229.932","229.932","229.932","212.084","212.084","212.084","233.892","233.892","233.892"
"10","132.856","132.856","132.856","216.144","216.144","216.144","33.24","33.24","33.24","80.94","80.94","80.94","81","81","81","81","81","81","","","","237.884","237.884","237.884","223.99","223.99","223.99","228.942","228.942","228.942"
"11","132.952","132.952","132.952","231.78","231.78","231.78","32.27","32.27","32.27","63.91","63.91","63.91","80.866","80.866","80.866","81","81","81","","","","236.96","236.96","236.96","228.592","228.592","228.592","224.584","224.584","224.584"
"12","122.91","122.91","122.91","233.346","233.346","233.346","44.228","44.228","44.228","57.918","57.918","57.918","80.934","80.934","80.934","81","81","81","","","","235.178","235.178","235.178","229.064","229.064","229.064","222.674","222.674","222.674"
"13","124.472","124.472","124.472","239.168","239.168","239.168","63.212","63.212","63.212","60.654","60.654","60.654","80.546","80.546","80.546","81","81","81","","","","238.49","238.49","238.49","230.948","230.948","230.948","219.878","219.878","219.878"
"14","106.934","106.934","106.934","243.812","243.812","243.812","67.898","67.898","67.898","60.662","60.662","60.662","81","81","81","80.9","80.9","80.9","","","","235.238","235.238","235.238","235.032","235.032","235.032","216.756","216.756","216.756"
"15","108.568","108.568","108.568","244.848","244.848","244.848","63.972","63.972","63.972","78.686","78.686","78.686","81","81","81","81","81","81","","","","233.804","233.804","233.804","232.18","232.18","232.18","219.96","219.96","219.96"
"16","116.05","116.05","116.05","243.362","243.362","243.362","63.514","63.514","63.514","81","81","81","81","81","81","81","81","81","","","","228.95","228.95","228.95","237.658","237.658","237.658","221.204","221.204","221.204"
"17","111.196","111.196","111.196","241.874","241.874","241.874","63.526","63.526","63.526","81","81","81","81","81","81","81","81","81","","","","234.78","234.78","234.78","239.862","239.862","239.862","223.572","223.572","223.572"
"18","129.762","129.762","129.762","243.902","243.902","243.902","65.67","65.67","65.67","80.96","80.96","80.96","81","81","81","81","81","81","","","","234.346","234.346","234.346","238.522","238.522","238.522","233.016","233.016","233.016"
"19","129.688","129.688","129.688","242.176","242.176","242.176","66.688","66.688","66.688","81","81","81","81","81","81","81","81","81","","","","239.274","239.274","239.274","236.518","236.518","236.518","233.088","233.088","233.088"
"20","115.056","115.056","115.056","246.642","246.642","246.642","62.938","62.938","62.938","81","81","81","","","","","","","","","","240.704","240.704","240.704","241.62","241.62","241.62","228.262","228.262","228.262"
"21","119.51","119.51","119.51","242.548","242.548","242.548","61.476","61.476","61.476","80.174","80.174","80.174","","","","","","","","","","237.966","237.966","237.966","240.872","240.872","240.872","235.446","235.446","235.446"
"22","113.862","113.862","113.862","241.578","241.578","241.578","58.894","58.894","58.894","81","81","81","","","","","","","","","","240.336","240.336","240.336","244.824","244.824","244.824","227.932","227.932","227.932"
"23","107.972","107.972","107.972","244.858","244.858","244.858","59.364","59.364","59.364","81","81","81","","","","","","","","","","232.326","232.326","232.326","243.152","243.152","243.152","233.672","233.672","233.672"
"24","105.638","105.638","105.638","243.834","243.834","243.834","55.71","55.71","55.71","81","81","81","","","","","","","","","","236.792","236.792","236.792","243.076","243.076","243.076","240.942","240.942","240.942"
"25","102.136","102.136","102.136","244.056","244.056","244.056","58.9","58.9","58.9","81","81","81","","","","","","","","","","229.78","229.78","229.78","238.574","238.574","238.574","240.872","240.872","240.872"
"26","105.012","105.012","105.012","242.504","242.504","242.504","59.512","59.512","59.512","81","81","81","","","","","","","","","","240.336","240.336","240.336","238.034","238.034","238.034","242.79","242.79","242.79"
"27","111.776","111.776","111.776","243.15","243.15","243.15","64.014","64.014","64.014","81","81","81","","","","","","","","","","230.836","230.836","230.836","241.278","241.278","241.278","243.248","243.248","243.248"
"28","121.006","121.006","121.006","240.448","240.448","240.448","65.124","65.124","65.124","80.852","80.852","80.852","","","","","","","","","","237.992","237.992","237.992","244.812","244.812","244.812","240.976","240.976","240.976"
"29","109.602","109.602","109.602","242.326","242.326","242.326","64.464","64.464","64.464","80.868","80.868","80.868","","","","","","","","","","240.904","240.904","240.904","243.88","243.88","243.88","241.234","241.234","241.234"
"30","102.368","102.368","102.368","249.658","249.658","249.658","64.426","64.426","64.426","81","81","81","","","","","","","","","","241.614","241.614","241.614","244.332","244.332","244.332","243.058","243.058","243.058"
"31","88.65","88.65","88.65","241.32","241.32","241.32","66.044","66.044","66.044","81","81","81","","","","","","","","","","238.524","238.524","238.524","248.282","248.282","248.282","241.534","241.534","241.534"
"32","91.686","91.686","91.686","240.976","240.976","240.976","70.59","70.59","70.59","81","81","81","","","","","","","","","","238.954","238.954","238.954","243.036","243.036","243.036","240.752","240.752","240.752"
"33","95.292","95.292","95.292","236.21","236.21","236.21","68.602","68.602","68.602","80.484","80.484","80.484","","","","","","","","","","236.97","236.97","236.97","246.462","246.462","246.462","243.916","243.916","243.916"
"34","88.75","88.75","88.75","243.66","243.66","243.66","68.976","68.976","68.976","80.082","80.082","80.082","","","","","","","","","","231.198","231.198","231.198","244.714","244.714","244.714","236.966","236.966","236.966"
"35","92.032","92.032","92.032","241.6","241.6","241.6","68.53","68.53","68.53","81","81","81","","","","","","","","","","227.368","227.368","227.368","246.756","246.756","246.756","246.632","246.632","246.632"
"36","100.958","100.958","100.958","239.782","239.782","239.782","68.854","68.854","68.854","81","81","81","","","","","","","","","","222.716","222.716","222.716","247.43","247.43","247.43","245.384","245.384","245.384"
"37","101.594","101.594","101.594","243.008","243.008","243.008","69.854","69.854","69.854","81","81","81","","","","","","","","","","237.384","237.384","237.384","245.978","245.978","245.978","244.268","244.268","244.268"
"38","114.19","114.19","114.19","218.05","218.05","218.05","70.734","70.734","70.734","81","81","81","","","","","","","","","","239.028","239.028","239.028","245.852","245.852","245.852","245.64","245.64","245.64"
"39","125.78","125.78","125.78","242.224","242.224","242.224","73.382","73.382","73.382","80.462","80.462","80.462","","","","","","","","","","237.898","237.898","237.898","242.164","242.164","242.164","244.752","244.752","244.752"
"40","113.708","113.708","113.708","","","","","","","","","","","","","","","","","","","232.756","232.756","232.756","236.892","236.892","236.892","244.394","244.394","244.394"
"41","109.426","109.426","109.426","","","","","","","","","","","","","","","","","","","237.472","237.472","237.472","248.922","248.922","248.922","245.986","245.986","245.986"
"42","125.226","125.226","125.226","","","","","","","","","","","","","","","","","","","233.696","233.696","233.696","238.004","238.004","238.004","244.492","244.492","244.492"
"43","129.188","129.188","129.188","","","","","","","","","","","","","","","","","","","242.324","242.324","242.324","248.224","248.224","248.224","244.94","244.94","244.94"
"44","129.418","129.418","129.418","","","","","","","","","","","","","","","","","","","228.774","228.774","228.774","244.766","244.766","244.766","245.048","245.048","245.048"
"45","","","","","","","","","","","","","","","","","","","","","","229.414","229.414","229.414","248.056","248.056","248.056","244.662","244.662","244.662"
"46","","","","","","","","","","","","","","","","","","","","","","235.334","235.334","235.334","248.8","248.8","248.8","245.714","245.714","245.714"
"47","","","","","","","","","","","","","","","","","","","","","","242.688","242.688","242.688","246.156","246.156","246.156","245.514","245.514","245.514"
"48","","","","","","","","","","","","","","","","","","","","","","232.512","232.512","232.512","244.676","244.676","244.676","240.412","240.412","240.412"
"49","","","","","","","","","","","","","","","","","","","","","","230.62","230.62","230.62","240.454","240.454","240.454","240.85","240.85","240.85"
"50","","","","","","","","","","","","","","","","","","","","","","","","","247.91","247.91","247.91","245.352","245.352","245.352"
"51","","","","","","","","","","","","","","","","","","","","","","","","","248.904","248.904","248.904","240.868","240.868","240.868"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","246.568","246.568","246.568"
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","246.084","246.084","246.084"
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","243.678","243.678","243.678"
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","243.994","243.994","243.994"
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.614","244.614","244.614"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","243.956","243.956","243.956"
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","242.222","242.222","242.222"
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","242.494","242.494","242.494"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","246.07","246.07","246.07"
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","243.698","243.698","243.698"
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.416","244.416","244.416"
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.702","245.702","245.702"
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","241.71","241.71","241.71"
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.326","245.326","245.326"
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","243.336","243.336","243.336"
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.278","245.278","245.278"
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.826","245.826","245.826"
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","243.928","243.928","243.928"
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","242.872","242.872","242.872"
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","241.322","241.322","241.322"
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","240.904","240.904","240.904"
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","242.968","242.968","242.968"
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.21","244.21","244.21"
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","246.036","246.036","246.036"
"76","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.864","245.864","245.864"
"77","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.518","245.518","245.518"
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","246.904","246.904","246.904"
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","248.182","248.182","248.182"
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.478","245.478","245.478"
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.634","244.634","244.634"
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.13","245.13","245.13"
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","246.162","246.162","246.162"
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","241.896","241.896","241.896"
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","240.824","240.824","240.824"
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","238.32","238.32","238.32"
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.354","244.354","244.354"
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.558","244.558","244.558"
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.088","245.088","245.088"
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","234.776","234.776","234.776"
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.392","244.392","244.392"
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","238.676","238.676","238.676"
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","234.838","234.838","234.838"
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.624","244.624","244.624"
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.182","245.182","245.182"
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","246.118","246.118","246.118"
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","246.766","246.766","246.766"
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","240.08","240.08","240.08"
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","240.016","240.016","240.016"