"step","TD3 big buffer lr scheduler - _step","TD3 big buffer lr scheduler - _step__MIN","TD3 big buffer lr scheduler - _step__MAX","TD3 big buffer lr scheduler - winrate","TD3 big buffer lr scheduler - winrate__MIN","TD3 big buffer lr scheduler - winrate__MAX"
"50000","50000","50000","50000","0.066","0.066","0.066"
"100000","100001","100001","100001","0.058","0.058","0.058"
"150000","150002","150002","150002","0.026","0.026","0.026"
"200000","200003","200003","200003","0.03","0.03","0.03"
"250000","250004","250004","250004","0.052","0.052","0.052"
"300000","300005","300005","300005","0.042","0.042","0.042"
"350000","350006","350006","350006","0.022","0.022","0.022"
"400000","400007","400007","400007","0.048","0.048","0.048"
"450000","450008","450008","450008","0.036","0.036","0.036"
"500000","500009","500009","500009","0.044","0.044","0.044"
"550000","550010","550010","550010","0.04","0.04","0.04"
"600000","600011","600011","600011","0.046","0.046","0.046"
"650000","650012","650012","650012","0.04","0.04","0.04"
"700000","700013","700013","700013","0.05","0.05","0.05"
"750000","750014","750014","750014","0.034","0.034","0.034"
"800000","800015","800015","800015","0.046","0.046","0.046"
"850000","850016","850016","850016","0.04","0.04","0.04"
"900000","900017","900017","900017","0.034","0.034","0.034"
"950000","950018","950018","950018","0.066","0.066","0.066"
"1000000","1000019","1000019","1000019","0.042","0.042","0.042"
"1050000","1050020","1050020","1050020","0.058","0.058","0.058"
"1100000","1100021","1100021","1100021","0.054","0.054","0.054"
"1150000","1150022","1150022","1150022","0.046","0.046","0.046"
"1200000","1200023","1200023","1200023","0.052","0.052","0.052"
"1250000","1250024","1250024","1250024","0.05","0.05","0.05"
"1300000","1300025","1300025","1300025","0.04","0.04","0.04"
"1350000","1350026","1350026","1350026","0.05","0.05","0.05"
"1400000","1400027","1400027","1400027","0.044","0.044","0.044"
"1450000","1450028","1450028","1450028","0.046","0.046","0.046"
"1500000","1500029","1500029","1500029","0.052","0.052","0.052"
"1550000","1550030","1550030","1550030","0.046","0.046","0.046"
"1600000","1600031","1600031","1600031","0.056","0.056","0.056"
"1650000","1650032","1650032","1650032","0.056","0.056","0.056"
"1700000","1700033","1700033","1700033","0.038","0.038","0.038"
"1750000","1750034","1750034","1750034","0.048","0.048","0.048"
"1800000","1800035","1800035","1800035","0.062","0.062","0.062"
"1850000","1850036","1850036","1850036","0.046","0.046","0.046"
"1900000","1900037","1900037","1900037","0.052","0.052","0.052"
"1950000","1950038","1950038","1950038","0.058","0.058","0.058"
"2000000","2000039","2000039","2000039","0.05","0.05","0.05"