"Step","TD3 big buffer - won_games","TD3 big buffer - won_games__MIN","TD3 big buffer - won_games__MAX","TD3 - won_games","TD3 - won_games__MIN","TD3 - won_games__MAX","TD3, 4 rew, eval-train mode - won_games","TD3, 4 rew, eval-train mode - won_games__MIN","TD3, 4 rew, eval-train mode - won_games__MAX","TD3 with 4 rewards - won_games","TD3 with 4 rewards - won_games__MIN","TD3 with 4 rewards - won_games__MAX","TD3 (50/50 train_freq) continue - won_games","TD3 (50/50 train_freq) continue - won_games__MIN","TD3 (50/50 train_freq) continue - won_games__MAX","TD3 (50/50 train_freq) - won_games","TD3 (50/50 train_freq) - won_games__MIN","TD3 (50/50 train_freq) - won_games__MAX","TD3 (action targets clipped) - won_games","TD3 (action targets clipped) - won_games__MIN","TD3 (action targets clipped) - won_games__MAX"
"0","58","58","58","28","28","28","165","165","165","45","45","45","65","65","65","43","43","43","82","82","82"
"1","54","54","54","57","57","57","72","72","72","66","66","66","52","52","52","46","46","46","54","54","54"
"2","34","34","34","59","59","59","91","91","91","108","108","108","36","36","36","36","36","36","34","34","34"
"3","58","58","58","30","30","30","108","108","108","92","92","92","22","22","22","74","74","74","81","81","81"
"4","43","43","43","23","23","23","103","103","103","92","92","92","27","27","27","50","50","50","60","60","60"
"5","63","63","63","28","28","28","68","68","68","95","95","95","73","73","73","77","77","77","32","32","32"
"6","74","74","74","52","52","52","121","121","121","109","109","109","54","54","54","69","69","69","79","79","79"
"7","73","73","73","22","22","22","178","178","178","93","93","93","67","67","67","59","59","59","77","77","77"
"8","56","56","56","18","18","18","134","134","134","114","114","114","27","27","27","42","42","42","78","78","78"
"9","91","91","91","21","21","21","92","92","92","113","113","113","41","41","41","53","53","53","73","73","73"
"10","134","134","134","16","16","16","","","","","","","46","46","46","","","","","",""
"11","104","104","104","10","10","10","","","","","","","32","32","32","","","","","",""
"12","71","71","71","25","25","25","","","","","","","23","23","23","","","","","",""
"13","88","88","88","20","20","20","","","","","","","112","112","112","","","","","",""
"14","77","77","77","13","13","13","","","","","","","70","70","70","","","","","",""
"15","98","98","98","13","13","13","","","","","","","35","35","35","","","","","",""
"16","96","96","96","12","12","12","","","","","","","40","40","40","","","","","",""
"17","117","117","117","11","11","11","","","","","","","50","50","50","","","","","",""
"18","151","151","151","3","3","3","","","","","","","24","24","24","","","","","",""
"19","133","133","133","64","64","64","","","","","","","62","62","62","","","","","",""
"20","","","","3","3","3","","","","","","","82","82","82","","","","","",""
"21","","","","16","16","16","","","","","","","44","44","44","","","","","",""
"22","","","","13","13","13","","","","","","","28","28","28","","","","","",""
"23","","","","10","10","10","","","","","","","30","30","30","","","","","",""
"24","","","","14","14","14","","","","","","","53","53","53","","","","","",""
"25","","","","8","8","8","","","","","","","71","71","71","","","","","",""
"26","","","","7","7","7","","","","","","","102","102","102","","","","","",""
"27","","","","9","9","9","","","","","","","71","71","71","","","","","",""
"28","","","","19","19","19","","","","","","","92","92","92","","","","","",""
"29","","","","10","10","10","","","","","","","82","82","82","","","","","",""
"30","","","","20","20","20","","","","","","","","","","","","","","",""
"31","","","","23","23","23","","","","","","","","","","","","","","",""
"32","","","","31","31","31","","","","","","","","","","","","","","",""
"33","","","","23","23","23","","","","","","","","","","","","","","",""
"34","","","","17","17","17","","","","","","","","","","","","","","",""